what,kind,bundleId,bundleVersion,description,time
installed,bundle,org.eclipse.jetty.security,8.1.3.v20120522,"org.eclipse.jetty.security",1368629820873
installed,bundle,org.eclipse.jetty.server,8.1.3.v20120522,"org.eclipse.jetty.server",1368629820876
installed,bundle,org.eclipse.jetty.servlet,8.1.3.v20120522,"org.eclipse.jetty.servlet",1368629820884
installed,bundle,org.eclipse.jetty.util,8.1.3.v20120522,"org.eclipse.jetty.util",1368629820886
installed,bundle,org.eclipse.vjet.core.codegen.bootstrap,0.10.0.201303191704,"org.eclipse.vjet.core.codegen.bootstrap",1368629820889
installed,bundle,org.eclipse.vjet.core.ext,0.10.0.201303191704,"org.eclipse.vjet.core.ext",1368629820895
installed,bundle,org.eclipse.vjet.core.javatojs,0.10.0.201303191704,"org.eclipse.vjet.core.javatojs",1368629820902
resolved,bundle,org.eclipse.vjet.core.codegen.bootstrap,0.10.0.201303191704,"org.eclipse.vjet.core.codegen.bootstrap",1368629820902
resolved,bundle,org.eclipse.jetty.util,8.1.3.v20120522,"org.eclipse.jetty.util",1368629820903
resolved,bundle,org.eclipse.jetty.io,8.1.3.v20120522,"org.eclipse.jetty.io",1368629820903
resolved,bundle,org.eclipse.jetty.http,8.1.3.v20120522,"org.eclipse.jetty.http",1368629820903
resolved,bundle,org.eclipse.jetty.continuation,8.1.3.v20120522,"org.eclipse.jetty.continuation",1368629820903
installed,bundle,org.eclipse.vjet.core.jsgenshared,0.10.0.201303191704,"org.eclipse.vjet.core.jsgenshared",1368629820908
resolved,bundle,org.eclipse.jetty.server,8.1.3.v20120522,"org.eclipse.jetty.server",1368629820909
resolved,bundle,org.eclipse.jetty.security,8.1.3.v20120522,"org.eclipse.jetty.security",1368629820909
resolved,bundle,org.eclipse.jetty.servlet,8.1.3.v20120522,"org.eclipse.jetty.servlet",1368629820909
resolved,bundle,org.eclipse.equinox.http.jetty,3.0.1.v20121109-203239,"org.eclipse.equinox.http.jetty",1368629820909
installed,bundle,org.eclipse.vjet.core.jsnative,0.10.0.201303191704,"org.eclipse.vjet.core.jsnative",1368629820912
installed,bundle,org.eclipse.vjet.core.jst,0.10.0.201303191704,"org.eclipse.vjet.core.jst",1368629820917
installed,bundle,org.eclipse.vjet.core.jstojava,0.10.0.201303191704,"org.eclipse.vjet.core.jstojava",1368629820924
installed,bundle,org.eclipse.vjet.core.util,0.10.0.201303191704,"org.eclipse.vjet.core.util",1368629820927
installed,bundle,org.eclipse.vjet.core.vjodef,0.10.0.201303191704,"org.eclipse.vjet.core.vjodef",1368629820931
resolved,bundle,org.eclipse.vjet.core.util,0.10.0.201303191704,"org.eclipse.vjet.core.util",1368629820932
resolved,bundle,org.eclipse.vjet.core.ext,0.10.0.201303191704,"org.eclipse.vjet.core.ext",1368629820932
installed,bundle,org.eclipse.vjet.core.vjotool,0.10.0.201303191704,"org.eclipse.vjet.core.vjotool",1368629820938
installed,bundle,org.eclipse.vjet.core.wrapper,0.10.0.201303191704,"org.eclipse.vjet.core.wrapper",1368629820947
installed,bundle,org.eclipse.vjet.eclipse.core,0.10.0.201303191704,"org.eclipse.vjet.eclipse.core",1368629820951
installed,bundle,org.eclipse.vjet.eclipse.debug,0.10.0.201303191704,"org.eclipse.vjet.eclipse.debug",1368629820954
installed,bundle,org.eclipse.vjet.eclipse.debug.ui,0.10.0.201303191704,"org.eclipse.vjet.eclipse.debug.ui",1368629820960
installed,bundle,org.eclipse.vjet.eclipse.help,0.10.0.201303191704,"org.eclipse.vjet.eclipse.help",1368629820965
installed,bundle,org.eclipse.vjet.eclipse.javalaunch,0.10.0.201303191704,"org.eclipse.vjet.eclipse.javalaunch",1368629820967
installed,bundle,org.eclipse.vjet.eclipse.javatojs.core,0.10.0.201303191704,"org.eclipse.vjet.eclipse.javatojs.core",1368629820969
resolved,bundle,org.eclipse.vjet.eclipse.help,0.10.0.201303191704,"org.eclipse.vjet.eclipse.help",1368629820970
installed,bundle,org.eclipse.vjet.eclipse.javatojs.ui,0.10.0.201303191704,"org.eclipse.vjet.eclipse.javatojs.ui",1368629820978
resolved,bundle,org.eclipse.vjet.eclipse.javalaunch,0.10.0.201303191704,"org.eclipse.vjet.eclipse.javalaunch",1368629820981
installed,bundle,org.eclipse.vjet.eclipse.launching,0.10.0.201303191704,"org.eclipse.vjet.eclipse.launching",1368629820987
installed,bundle,org.eclipse.vjet.eclipse.rhino.dbgp,0.10.0.201303191704,"org.eclipse.vjet.eclipse.rhino.dbgp",1368629820989
resolved,bundle,org.eclipse.vjet.eclipse.javatojs.ui,0.10.0.201303191704,"org.eclipse.vjet.eclipse.javatojs.ui",1368629820991
installed,bundle,org.eclipse.vjet.eclipse.typespace.efs,0.10.0.201303191704,"org.eclipse.vjet.eclipse.typespace.efs",1368629820992
installed,bundle,org.eclipse.vjet.eclipse.ui,0.10.0.201303191704,"org.eclipse.vjet.eclipse.ui",1368629821001
installed,bundle,org.eclipse.vjet.eclipse.ui.html,0.10.0.201303191704,"org.eclipse.vjet.eclipse.ui.html",1368629821003
installed,bundle,org.eclipse.vjet.eclipse.vjetv,0.10.0.201303191704,"org.eclipse.vjet.eclipse.vjetv",1368629821005
installed,bundle,org.eclipse.vjet.eclipse.welcome,0.10.0.201303191704,"org.eclipse.vjet.eclipse.welcome",1368629821007
installed,bundle,org.eclipse.vjet.extmod.jsdt,0.10.0.201303191704,"org.eclipse.vjet.extmod.jsdt",1368629821011
resolved,bundle,org.eclipse.vjet.eclipse.welcome,0.10.0.201303191704,"org.eclipse.vjet.eclipse.welcome",1368629821012
resolved,bundle,org.eclipse.vjet.extmod.jsdt,0.10.0.201303191704,"org.eclipse.vjet.extmod.jsdt",1368629821014
installed,bundle,org.eclipse.vjet.extmod.rhino,0.10.0.201303191704,"org.eclipse.vjet.extmod.rhino",1368629821016
